데이터셋,채널,충방전기,용량(mAh),총사이클,RPT,Rss,가속수명,GITT,initial,unknown,시험종류,RPT주기,스케줄패턴,에러,경로
Dateset_A1_Gen4 2C ATL MP2 [45V 4470mAh] [23] blk2,81,Toyo,4470,201,3,0,198,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Dateset_A1_Gen4 2C ATL MP2 [45V 4470mAh] [23] blk2\81
Dateset_A1_Gen4 2C ATL MP2 [45V 4470mAh] [23] blk2,82,Toyo,4470,201,3,0,198,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Dateset_A1_Gen4 2C ATL MP2 [45V 4470mAh] [23] blk2\82
Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131,11,Toyo,4470,1202,13,0,1188,0,0,1,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131\11
Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131,12,Toyo,4470,1202,13,0,1188,0,0,1,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131\12
Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131,13,Toyo,4470,1202,13,0,1188,0,0,1,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131\13
Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131,14,Toyo,4470,1202,13,0,1188,0,0,1,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131\14
Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131,15,Toyo,4470,1202,13,0,1188,0,0,1,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131\15
Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131,16,Toyo,4470,602,7,0,595,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\Gen4 2C ATL MP2 [45V 4470mAh] [23] blk7 - 240131\16
M1 ATL [45V 4175mAh],10,Toyo,4175,433,5,0,428,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×32,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\10
M1 ATL [45V 4175mAh],100,Toyo,4175,445,5,0,440,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×44,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\100
M1 ATL [45V 4175mAh],11,Toyo,4175,435,5,0,430,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×34,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\11
M1 ATL [45V 4175mAh],15,Toyo,4175,433,5,0,428,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×32,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\15
M1 ATL [45V 4175mAh],16,Toyo,4175,434,5,0,429,0,0,0,가속수명 시험,100,RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×33,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\M1 ATL [45V 4175mAh]\16
