No,카테고리,모델,제조사,개발단계,세대,전압(V),용량(mAh),온도,온도완성,EA수,BLK,사이클힌트,최초폴더,최종폴더,폴더수,파일수,크기(KB),크기변화(%),mAh자동,태그
50,Phone,Gen5 MP2,SDI,-,,4.53,4804,23°C,1/3,20,,,260226,260226,1,2,1088,,O,Graphite
51,Phone,H8 Main,ATL,-,,,,15°C/45°C,2/3,10,"BLK5, BLK6",,260226,260226,1,3,318,,X,
52,Phone,H8 Main,ATL,-,,4.55,2267,23°C,1/3,20,"BLK2, BLK3",,260226,260226,1,2,1005,,O,
53,Phone,H8 Main,SDI,-,,4.55,2267,23°C/45°C,2/3,30,"BLK2, BLK3",300CY,260226,260226,1,3,1334,,O,
54,Phone,H8 Main Side,SDI,-,,4.55,2267,23°C,1/3,5,BLK2,,260226,260226,1,1,167,,O,
55,Phone,H8 SUB,Cosmx,-,,4.55,2393,23°C,1/3,21,BLK1,,260226,260226,1,2,908,,O,
56,Phone,H8 Sub,ATL,-,,4.55,2393,23°C,1/3,41,"BLK1, BLK12, BLK7",re-test,260226,260226,1,4,1370,,O,ICF
57,Phone,H8 Sub,ATL,-,,,,15°C/45°C,2/3,18,"BLK5, BLK6",,260226,260226,1,4,455,,X,ICF
58,Phone,H8 Sub,Cosmx,-,,4.55,2393,45°C,1/3,8,BLK6,,260226,260226,1,1,269,,O,
59,Phone,M2,SDI,MP1,2nd,,4078,23°C,1/3,,"BLK1, BLK7",,260226,260226,1,2,943,,O,
60,Phone,M2,SDI,MP2,2nd,,4078,23°C,1/3,1,"BLK1, BLK3, BLK4, BLK5, BLK7",restart,260226,260226,1,5,1321,,O,
61,Phone,M2 Gr,SDI,-,,,3980,23°C,1/3,2,"BLK1, BLK3, BLK4",,260226,260226,1,4,543,,O,Graphite
62,Phone,M2 main2,ATL,MP1,,,3980,23°C,1/3,,"BLK2, BLK4",,260226,260226,1,2,903,,O,
63,Phone,M2 main2,ATL,MP2,,,3980,23°C,1/3,,"BLK3, BLK7",,260226,260226,1,2,1034,,O,
64,Phone,M2 main2 at 470cycle,ATL,MP1,,,,45°C,1/3,,,470CY; restart,260226,260226,1,1,32,,X,
65,Phone,M3,SDI,-,,,4855,23°C,1/3,4,BLK8,1200CY,260226,260226,1,1,92,,O,
