test_category,exp_folder,sch_file,rel_path,capacity_mAh,schedule_desc,n_steps,n_groups_expanded,total_tc,first_record_interval_s,first_chamber_c,category_summary
성능,251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI,251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI.sch,성능\251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI\M01Ch017[017]\251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI.sch,11.0,RatedCh_half_ca_4.19mAh_SDI,31,6,6,300.1000061035156,0,"CHG_DCHG:4, REST_SHORT:1, DCHG_SET:1"
성능,251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI,251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI.sch,성능\251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI\M01Ch019[019]\251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI.sch,11.0,RatedCh_half_ca_4.19mAh_SDI,31,6,6,300.1000061035156,0,"CHG_DCHG:4, REST_SHORT:1, DCHG_SET:1"
성능,251209_251213_05_현혜정_6490mAh_LWN Si25P SPL 율별방전Profile,251209_251213_05_현혜정_6490mAh_LWN Si25P SPL 율별방전Profile.sch,성능\251209_251213_05_현혜정_6490mAh_LWN Si25P SPL 율별방전Profile\M01Ch030[030]\251209_251213_05_현혜정_6490mAh_LWN Si25P SPL 율별방전Profile.sch,6490.0,LWN 6490mAh Si25P ����Profile,34,6,6,60.0,0,"CHG_DCHG:4, INIT:1, RPT:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch016[016]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch017[017]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch018[018]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch019[019]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch020[020]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch021[021]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
성능,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23,251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,성능\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23\M01Ch022[022]\251218_251230_00_박민희_3-45mAh_M1 ATL Cathode Half T23.sch,11.0,Half_ca_3.45mAh_formation_0.1C_ATL,12,3,5,300.0,0,"REST_LONG:1, REST_SHORT:1, FORMATION:1"
